#(0)Hugo,(1)Profile,(2)FL,(3)Material of Real,(4)Rotate,(5)FrontColor,(6)BackColor,(7)SectionColor
#SETTINGS,NorthAmerica,inch,,,,,
#ALL,ALL,,,,,,
##STEEL_BEAM,,,,,,,
W30x326,H-32.40x15.37x1.14x2.05,,,,matSTEEL,BLACK,BLACK
W30x292,H-32.01x15.26x1.02x1.85,,,,matSTEEL,BLACK,BLACK
W30x261,H-31.61x15.16x0.93x1.65,,,,matSTEEL,BLACK,BLACK
W30x235,H-31.30x15.06x0.83x1.50,,,,matSTEEL,BLACK,BLACK
W30x211,H-30.94x15.11x0.78x1.32,,,,matSTEEL,BLACK,BLACK
W30x191,H-30.68x15.04x0.71x1.19,,,,matSTEEL,BLACK,BLACK
W30x173,H-30.44x14.99x0.66x1.07,,,,matSTEEL,BLACK,BLACK
W30x148,H-30.67x10.48x0.65x1.18,,,,matSTEEL,BLACK,BLACK
W30x132,H-30.31x10.55x0.62x1.00,,,,matSTEEL,BLACK,BLACK
W30x124,H-30.17x10.52x0.59x0.93,,,,matSTEEL,BLACK,BLACK
W30x116,H-30.01x10.50x0.57x0.85,,,,matSTEEL,BLACK,BLACK
W30x108,H-29.83x10.48x0.55x0.76,,,,matSTEEL,BLACK,BLACK
W30x99,H-29.65x10.45x0.52x0.67,,,,matSTEEL,BLACK,BLACK
W30x90,H-29.53x10.40x0.47x0.61,,,,matSTEEL,BLACK,BLACK
W27x539,H-32.52x15.26x1.97x3.54,,,,matSTEEL,BLACK,BLACK
W27x448,H-31.42x14.94x1.65x2.99,,,,matSTEEL,BLACK,BLACK
W27x368,H-30.39x14.67x1.38x2.48,,,,matSTEEL,BLACK,BLACK
W27x307,H-29.61x14.45x1.16x2.09,,,,matSTEEL,BLACK,BLACK
W27x258,H-28.98x14.27x0.98x1.77,,,,matSTEEL,BLACK,BLACK
W27x235,H-28.66x14.19x0.91x1.61,,,,matSTEEL,BLACK,BLACK
W27x217,H-28.43x14.12x0.83x1.50,,,,matSTEEL,BLACK,BLACK
W27x194,H-28.11x14.04x0.75x1.34,,,,matSTEEL,BLACK,BLACK
W27x178,H-27.81x14.09x0.73x1.19,,,,matSTEEL,BLACK,BLACK
W27x161,H-27.59x14.02x0.66x1.08,,,,matSTEEL,BLACK,BLACK
W27x146,H-27.38x13.97x0.61x0.98,,,,matSTEEL,BLACK,BLACK
W27x129,H-27.63x10.01x0.61x1.10,,,,matSTEEL,BLACK,BLACK
W27x114,H-27.29x10.07x0.57x0.93,,,,matSTEEL,BLACK,BLACK
W27x102,H-27.09x10.02x0.52x0.83,,,,matSTEEL,BLACK,BLACK
W27x94,H-26.92x9.99x0.49x0.75,,,,matSTEEL,BLACK,BLACK
W27x84,H-26.71x9.96x0.46x0.64,,,,matSTEEL,BLACK,BLACK
W24x492,H-29.65x14.12x1.97x3.54,,,,matSTEEL,BLACK,BLACK
W24x408,H-28.54x13.80x1.65x2.99,,,,matSTEEL,BLACK,BLACK
W24x335,H-27.52x13.52x1.38x2.48,,,,matSTEEL,BLACK,BLACK
W24x279,H-26.73x13.31x1.16x2.09,,,,matSTEEL,BLACK,BLACK
W24x250,H-26.34x13.19x1.04x1.89,,,,matSTEEL,BLACK,BLACK
W24x229,H-26.02x13.11x0.96x1.73,,,,matSTEEL,BLACK,BLACK
W24x207,H-25.71x13.01x0.87x1.57,,,,matSTEEL,BLACK,BLACK
W24x192,H-25.47x12.95x0.81x1.46,,,,matSTEEL,BLACK,BLACK
W24x176,H-25.24x12.89x0.75x1.34,,,,matSTEEL,BLACK,BLACK
W24x162,H-25.00x12.96x0.71x1.22,,,,matSTEEL,BLACK,BLACK
W24x146,H-24.74x12.90x0.65x1.09,,,,matSTEEL,BLACK,BLACK
W24x131,H-24.48x12.86x0.61x0.96,,,,matSTEEL,BLACK,BLACK
W24x117,H-24.26x12.80x0.55x0.85,,,,matSTEEL,BLACK,BLACK
W24x104,H-24.06x12.75x0.50x0.75,,,,matSTEEL,BLACK,BLACK
W24x103,H-24.53x9.00x0.55x0.98,,,,matSTEEL,BLACK,BLACK
W24x94,H-24.31x9.07x0.52x0.88,,,,matSTEEL,BLACK,BLACK
W24x84,H-24.10x9.02x0.47x0.77,,,,matSTEEL,BLACK,BLACK
W24x76,H-23.92x8.99x0.44x0.68,,,,matSTEEL,BLACK,BLACK
W24x68,H-23.73x8.97x0.42x0.59,,,,matSTEEL,BLACK,BLACK
W24x62,H-23.74x7.04x0.43x0.59,,,,matSTEEL,BLACK,BLACK
W24x55,H-23.57x7.01x0.40x0.51,,,,matSTEEL,BLACK,BLACK
W21x201,H-23.03x12.58x0.91x1.63,,,,matSTEEL,BLACK,BLACK
W21x182,H-22.72x12.50x0.83x1.48,,,,matSTEEL,BLACK,BLACK
W21x166,H-22.48x12.42x0.75x1.36,,,,matSTEEL,BLACK,BLACK
W21x147,H-22.06x12.51x0.72x1.15,,,,matSTEEL,BLACK,BLACK
W21x132,H-21.83x12.44x0.65x1.04,,,,matSTEEL,BLACK,BLACK
W21x122,H-21.68x12.39x0.60x0.96,,,,matSTEEL,BLACK,BLACK
W21x111,H-21.51x12.34x0.55x0.88,,,,matSTEEL,BLACK,BLACK
W21x101,H-21.36x12.29x0.50x0.80,,,,matSTEEL,BLACK,BLACK
W21x93,H-21.62x8.42x0.58x0.93,,,,matSTEEL,BLACK,BLACK
W21x83,H-21.43x8.36x0.52x0.84,,,,matSTEEL,BLACK,BLACK
W21x73,H-21.24x8.30x0.46x0.74,,,,matSTEEL,BLACK,BLACK
W21x68,H-21.13x8.27x0.43x0.69,,,,matSTEEL,BLACK,BLACK
W21x62,H-20.99x8.24x0.40x0.62,,,,matSTEEL,BLACK,BLACK
W21x57,H-21.06x6.56x0.41x0.65,,,,matSTEEL,BLACK,BLACK
