#(0)Hugo,(1)Profile,(2)FL,(3)Material of Real,(4)Rotate,(5)FrontColor,(6)BackColor,(7)SectionColor
#SETTINGS,JISTYPE,mm,,,,,
#ALL,,,,,,,
,SHS-50x50x2.3x4.6,,,,matSTEEL,BLACK,BLACK
,SHS-50x50x3.2x6.4,,,,matSTEEL,BLACK,BLACK
,SHS-60x60x1.6x3.2,,,,matSTEEL,BLACK,BLACK
,SHS-60x60x2.0x4,,,,matSTEEL,BLACK,BLACK
,SHS-60x60x2.3x4.6,,,,matSTEEL,BLACK,BLACK
,SHS-60x60x3.2x6.4,,,,matSTEEL,BLACK,BLACK
,SHS-75x75x1.6x3.2,,,,matSTEEL,BLACK,BLACK
,SHS-75x75x2.3x4.6,,,,matSTEEL,BLACK,BLACK
,SHS-75x75x3.2x6.4,,,,matSTEEL,BLACK,BLACK
,SHS-75x75x4.5x9,,,,matSTEEL,BLACK,BLACK
,SHS-100x100x2.3x4.6,,,,matSTEEL,BLACK,BLACK
,SHS-100x100x3.2x6.4,,,,matSTEEL,BLACK,BLACK
,SHS-100x100x4.5x9,,,,matSTEEL,BLACK,BLACK
,SHS-100x100x6.0x12,,,,matSTEEL,BLACK,BLACK
,SHS-100x100x9.0x18,,,,matSTEEL,BLACK,BLACK
,SHS-100x100x12.0x24,,,,matSTEEL,BLACK,BLACK
,SHS-125x125x3.2x6.4,,,,matSTEEL,BLACK,BLACK
,SHS-125x125x4.5x9,,,,matSTEEL,BLACK,BLACK
,SHS-125x125x6.0x12,,,,matSTEEL,BLACK,BLACK
,SHS-125x125x9.0x18,,,,matSTEEL,BLACK,BLACK
,SHS-125x125x12.0x24,,,,matSTEEL,BLACK,BLACK
,SHS-150x150x4.5x9,,,,matSTEEL,BLACK,BLACK
,SHS-150x150x6.0x12,,,,matSTEEL,BLACK,BLACK
,SHS-150x150x9.0x18,,,,matSTEEL,BLACK,BLACK
,SHS-150x150x12.0x24,,,,matSTEEL,BLACK,BLACK
,SHS-175x175x4.5x9,,,,matSTEEL,BLACK,BLACK
,SHS-175x175x6.0x12,,,,matSTEEL,BLACK,BLACK
,SHS-175x175x9.0x18,,,,matSTEEL,BLACK,BLACK
,SHS-175x175x12.0x24,,,,matSTEEL,BLACK,BLACK
,SHS-200x200x4.5x9,,,,matSTEEL,BLACK,BLACK
,SHS-200x200x6.0x12,,,,matSTEEL,BLACK,BLACK
,SHS-200x200x8.0x16,,,,matSTEEL,BLACK,BLACK
,SHS-200x200x9.0x18,,,,matSTEEL,BLACK,BLACK
,SHS-200x200x12.0x24,,,,matSTEEL,BLACK,BLACK
,SHS-60x30x1.6x3.2,,,,matSTEEL,BLACK,BLACK
,SHS-60x30x2.3x4.6,,,,matSTEEL,BLACK,BLACK
,SHS-60x30x3.2x6.4,,,,matSTEEL,BLACK,BLACK
,SHS-75x45x1.6x3.2,,,,matSTEEL,BLACK,BLACK
,SHS-75x45x2.3x4.6,,,,matSTEEL,BLACK,BLACK
,SHS-75x45x3.2x6.4,,,,matSTEEL,BLACK,BLACK
,SHS-100x40x1.6x3.2,,,,matSTEEL,BLACK,BLACK
,SHS-100x40x2.3x4.6,,,,matSTEEL,BLACK,BLACK
,SHS-100x40x3.2x6.4,,,,matSTEEL,BLACK,BLACK
,SHS-125x40x1.6x3.2,,,,matSTEEL,BLACK,BLACK
,SHS-125x40x2.3x4.6,,,,matSTEEL,BLACK,BLACK
,SHS-150x75x3.2x6.4,,,,matSTEEL,BLACK,BLACK
,SHS-150x100x3.2x6.4,,,,matSTEEL,BLACK,BLACK
,SHS-150x100x4.5x9,,,,matSTEEL,BLACK,BLACK
,SHS-150x100x6.0x12,,,,matSTEEL,BLACK,BLACK
,SHS-150x100x9.0x18,,,,matSTEEL,BLACK,BLACK
,SHS-200x100x4.5x9,,,,matSTEEL,BLACK,BLACK
,SHS-200x100x6.0x12,,,,matSTEEL,BLACK,BLACK
,SHS-200x100x9.0x18,,,,matSTEEL,BLACK,BLACK
,CT-100x100x5.5x8x8,,,,matSTEEL,BLACK,BLACK
,CT-100x200x8x12x13,,,,matSTEEL,BLACK,BLACK
,FB-6x100,,,,matSTEEL,BLACK,BLACK
,FB-9x125,,,,matSTEEL,BLACK,BLACK
##STEEL_BEAM,,,,,,,
b15,H-150x75x5x7,,,,matSTEEL,BLACK,BLACK
b19,H-198x99x4.5x7,,,,matSTEEL,BLACK,BLACK
b20,H-200x100x5.5x8,,,,matSTEEL,BLACK,BLACK
b24,H-248x124x5x8,,,,matSTEEL,BLACK,BLACK
b25,H-250x125x6x9,,,,matSTEEL,BLACK,BLACK
b29,H-298x149x5.5x8,,,,matSTEEL,BLACK,BLACK
b30,H-300x150x6.5x9,,,,matSTEEL,BLACK,BLACK
b34,H-346x174x6x9,,,,matSTEEL,BLACK,BLACK
b340,H-340x250x9x14,,,,matSTEEL,BLACK,BLACK
b35,H-350x175x7x11,,,,matSTEEL,BLACK,BLACK
b39,H-396x199x7x11,,,,matSTEEL,BLACK,BLACK
b40,H-400x200x8x13,,,,matSTEEL,BLACK,BLACK
